Date,CLOSE,Dividend,SplitFactor,CumulativeDividend,cum_factor
2019-03-05,80.1900,0.0000,1.0000,21.7200,1.0000
2019-03-06,79.2800,0.0000,1.0000,21.7200,1.0000
2019-03-07,80.1600,0.0000,1.0000,21.7200,1.0000
2019-03-08,79.0100,0.0000,1.0000,21.7200,1.0000
2019-03-11,79.7800,0.0000,1.0000,21.7200,1.0000
2019-03-12,80.0000,0.0000,1.0000,21.7200,1.0000
2019-03-13,80.7100,0.0000,1.0000,21.7200,1.0000
2019-03-14,80.4400,0.0000,1.0000,21.7200,1.0000
2019-03-15,80.1500,0.0000,1.0000,21.7200,1.0000
2019-03-18,81.0800,0.0000,1.0000,21.7200,1.0000
2019-03-19,80.8700,0.0000,1.0000,21.7200,1.0000
2019-03-20,81.3200,0.0000,1.0000,21.7200,1.0000
2019-03-21,81.7900,0.0000,1.0000,21.7200,1.0000
2019-03-22,80.4800,0.0000,1.0000,21.7200,1.0000
2019-03-25,79.9200,0.0000,1.0000,21.7200,1.0000
2019-03-26,80.9600,0.0000,1.0000,21.7200,1.0000
2019-03-27,80.3400,0.0000,1.0000,21.7200,1.0000
2019-03-28,80.7400,0.0000,1.0000,21.7200,1.0000
2019-03-29,80.8000,0.0000,1.0000,21.7200,1.0000
2019-04-01,81.7300,0.0000,1.0000,21.7200,1.0000
2019-04-02,81.3800,0.0000,1.0000,21.7200,1.0000
2019-04-03,80.9000,0.0000,1.0000,21.7200,1.0000
2019-04-04,82.0500,0.0000,1.0000,21.7200,1.0000
2019-04-05,82.4900,0.0000,1.0000,21.7200,1.0000
2019-04-08,83.0000,0.0000,1.0000,21.7200,1.0000
2019-04-09,81.9300,0.0000,1.0000,21.7200,1.0000
2019-04-10,81.5600,0.0000,1.0000,21.7200,1.0000
2019-04-11,81.9500,0.0000,1.0000,21.7200,1.0000
2019-04-12,80.9200,0.0000,1.0000,21.7200,1.0000
2019-04-15,80.6500,0.0000,1.0000,21.7200,1.0000
2019-04-16,81.2000,0.0000,1.0000,21.7200,1.0000
2019-04-17,81.4300,0.0000,1.0000,21.7200,1.0000
2019-04-18,81.1300,0.0000,1.0000,21.7200,1.0000
2019-04-22,82.9000,0.0000,1.0000,21.7200,1.0000
2019-04-23,83.3800,0.0000,1.0000,21.7200,1.0000
2019-04-24,81.7600,0.0000,1.0000,21.7200,1.0000
2019-04-25,82.2200,0.0000,1.0000,21.7200,1.0000
2019-04-26,80.4900,0.0000,1.0000,21.7200,1.0000
2019-04-29,79.9700,0.0000,1.0000,21.7200,1.0000
2019-04-30,80.2800,0.0000,1.0000,21.7200,1.0000
2019-05-01,78.6700,0.0000,1.0000,21.7200,1.0000
2019-05-02,77.2900,0.0000,1.0000,21.7200,1.0000
2019-05-03,77.4700,0.0000,1.0000,21.7200,1.0000
2019-05-06,77.1300,0.0000,1.0000,21.7200,1.0000
2019-05-07,76.7200,0.0000,1.0000,21.7200,1.0000
2019-05-08,76.8400,0.0000,1.0000,21.7200,1.0000
2019-05-09,76.7700,0.0000,1.0000,21.7200,1.0000
2019-05-10,76.5600,0.8700,1.0000,22.5900,1.0000
2019-05-13,75.7100,0.0000,1.0000,22.5900,1.0000
2019-05-14,75.8100,0.0000,1.0000,22.5900,1.0000
2019-05-15,76.3700,0.0000,1.0000,22.5900,1.0000
2019-05-16,76.3600,0.0000,1.0000,22.5900,1.0000
2019-05-17,75.9100,0.0000,1.0000,22.5900,1.0000
2019-05-20,75.9000,0.0000,1.0000,22.5900,1.0000
2019-05-21,76.2500,0.0000,1.0000,22.5900,1.0000
2019-05-22,75.5600,0.0000,1.0000,22.5900,1.0000
2019-05-23,73.7900,0.0000,1.0000,22.5900,1.0000
2019-05-24,74.1000,0.0000,1.0000,22.5900,1.0000
2019-05-28,72.6100,0.0000,1.0000,22.5900,1.0000
2019-05-29,72.1600,0.0000,1.0000,22.5900,1.0000
2019-05-30,71.9700,0.0000,1.0000,22.5900,1.0000
2019-05-31,70.7700,0.0000,1.0000,22.5900,1.0000
2019-06-03,71.8800,0.0000,1.0000,22.5900,1.0000
2019-06-04,73.5900,0.0000,1.0000,22.5900,1.0000
2019-06-05,72.9800,0.0000,1.0000,22.5900,1.0000
2019-06-06,74.3100,0.0000,1.0000,22.5900,1.0000
2019-06-07,74.5800,0.0000,1.0000,22.5900,1.0000
2019-06-10,74.9100,0.0000,1.0000,22.5900,1.0000
2019-06-11,74.8400,0.0000,1.0000,22.5900,1.0000
2019-06-12,74.0300,0.0000,1.0000,22.5900,1.0000
2019-06-13,74.6800,0.0000,1.0000,22.5900,1.0000
2019-06-14,74.3500,0.0000,1.0000,22.5900,1.0000
2019-06-17,75.0900,0.0000,1.0000,22.5900,1.0000
2019-06-18,75.7400,0.0000,1.0000,22.5900,1.0000
2019-06-19,75.3200,0.0000,1.0000,22.5900,1.0000
2019-06-20,76.6100,0.0000,1.0000,22.5900,1.0000
2019-06-21,77.6900,0.0000,1.0000,22.5900,1.0000
2019-06-24,76.9500,0.0000,1.0000,22.5900,1.0000
2019-06-25,76.2700,0.0000,1.0000,22.5900,1.0000
2019-06-26,76.6000,0.0000,1.0000,22.5900,1.0000
2019-06-27,75.8200,0.0000,1.0000,22.5900,1.0000
2019-06-28,76.6300,0.0000,1.0000,22.5900,1.0000
2019-07-01,76.5600,0.0000,1.0000,22.5900,1.0000
2019-07-02,75.7200,0.0000,1.0000,22.5900,1.0000
2019-07-03,76.4400,0.0000,1.0000,22.5900,1.0000
2019-07-05,76.1300,0.0000,1.0000,22.5900,1.0000
2019-07-08,76.4800,0.0000,1.0000,22.5900,1.0000
2019-07-09,76.4300,0.0000,1.0000,22.5900,1.0000
2019-07-10,77.5100,0.0000,1.0000,22.5900,1.0000
2019-07-11,77.5700,0.0000,1.0000,22.5900,1.0000
2019-07-12,77.6300,0.0000,1.0000,22.5900,1.0000
2019-07-15,77.0800,0.0000,1.0000,22.5900,1.0000
2019-07-16,75.9300,0.0000,1.0000,22.5900,1.0000
2019-07-17,75.4800,0.0000,1.0000,22.5900,1.0000
2019-07-18,74.8400,0.0000,1.0000,22.5900,1.0000
2019-07-19,74.9900,0.0000,1.0000,22.5900,1.0000
2019-07-22,75.0700,0.0000,1.0000,22.5900,1.0000
2019-07-23,75.3700,0.0000,1.0000,22.5900,1.0000
2019-07-24,75.3600,0.0000,1.0000,22.5900,1.0000
2019-07-25,74.9300,0.0000,1.0000,22.5900,1.0000
2019-07-26,74.8100,0.0000,1.0000,22.5900,1.0000
2019-07-29,75.3400,0.0000,1.0000,22.5900,1.0000
2019-07-30,75.3500,0.0000,1.0000,22.5900,1.0000
2019-07-31,74.3600,0.0000,1.0000,22.5900,1.0000
2019-08-01,72.4600,0.0000,1.0000,22.5900,1.0000
2019-08-02,71.7500,0.0000,1.0000,22.5900,1.0000
2019-08-05,70.2800,0.0000,1.0000,22.5900,1.0000
2019-08-06,70.9600,0.0000,1.0000,22.5900,1.0000
2019-08-07,70.5000,0.0000,1.0000,22.5900,1.0000
2019-08-08,72.3800,0.0000,1.0000,22.5900,1.0000
2019-08-09,70.8400,0.0000,1.0000,22.5900,1.0000
2019-08-12,69.6300,0.8700,1.0000,23.4600,1.0000
2019-08-13,70.4900,0.0000,1.0000,23.4600,1.0000
2019-08-14,67.6500,0.0000,1.0000,23.4600,1.0000
2019-08-15,67.2500,0.0000,1.0000,23.4600,1.0000
2019-08-16,68.3000,0.0000,1.0000,23.4600,1.0000
2019-08-19,69.4500,0.0000,1.0000,23.4600,1.0000
2019-08-20,69.0300,0.0000,1.0000,23.4600,1.0000
2019-08-21,69.7200,0.0000,1.0000,23.4600,1.0000
2019-08-22,69.5700,0.0000,1.0000,23.4600,1.0000
2019-08-23,67.4900,0.0000,1.0000,23.4600,1.0000
2019-08-26,67.8500,0.0000,1.0000,23.4600,1.0000
