Date,CLOSE,Dividend,SplitFactor,CumulativeDividend,cum_factor
2015-11-24,102.0400,0.0000,1.0000,12.9500,1.0000
2015-11-25,101.9600,0.0000,1.0000,12.9500,1.0000
2015-11-27,102.3700,0.0000,1.0000,12.9500,1.0000
2015-11-30,101.2400,0.0000,1.0000,12.9500,1.0000
2015-12-01,102.3600,0.0000,1.0000,12.9500,1.0000
2015-12-02,102.0500,0.0000,1.0000,12.9500,1.0000
2015-12-03,100.7900,0.0000,1.0000,12.9500,1.0000
2015-12-04,102.9500,0.0000,1.0000,12.9500,1.0000
2015-12-07,103.3200,0.0000,1.0000,12.9500,1.0000
2015-12-08,102.4200,0.0000,1.0000,12.9500,1.0000
2015-12-09,102.1500,0.0000,1.0000,12.9500,1.0000
2015-12-10,102.6400,0.0000,1.0000,12.9500,1.0000
2015-12-11,101.6800,0.0000,1.0000,12.9500,1.0000
2015-12-14,102.1500,0.0000,1.0000,12.9500,1.0000
2015-12-15,104.1300,0.0000,1.0000,12.9500,1.0000
2015-12-16,105.2500,0.0000,1.0000,12.9500,1.0000
2015-12-17,103.6400,0.0000,1.0000,12.9500,1.0000
2015-12-18,101.9500,0.0000,1.0000,12.9500,1.0000
2015-12-21,101.5800,0.0000,1.0000,12.9500,1.0000
2015-12-22,102.7100,0.0000,1.0000,12.9500,1.0000
2015-12-23,103.4900,0.0000,1.0000,12.9500,1.0000
2015-12-24,103.7200,0.0000,1.0000,12.9500,1.0000
2015-12-28,103.2200,0.0000,1.0000,12.9500,1.0000
2015-12-29,104.0300,0.0000,1.0000,12.9500,1.0000
2015-12-30,103.7800,0.0000,1.0000,12.9500,1.0000
2015-12-31,102.7200,0.0000,1.0000,12.9500,1.0000
2016-01-04,100.4800,0.0000,1.0000,12.9500,1.0000
2016-01-05,100.9000,0.0000,1.0000,12.9500,1.0000
2016-01-06,100.3900,0.0000,1.0000,12.9500,1.0000
2016-01-07,99.2200,0.0000,1.0000,12.9500,1.0000
2016-01-08,98.1600,0.0000,1.0000,12.9500,1.0000
2016-01-11,97.5700,0.0000,1.0000,12.9500,1.0000
2016-01-12,98.2400,0.0000,1.0000,12.9500,1.0000
2016-01-13,97.0200,0.0000,1.0000,12.9500,1.0000
2016-01-14,98.8900,0.0000,1.0000,12.9500,1.0000
2016-01-15,97.0000,0.0000,1.0000,12.9500,1.0000
2016-01-19,97.5000,0.0000,1.0000,12.9500,1.0000
2016-01-20,95.7500,0.0000,1.0000,12.9500,1.0000
2016-01-21,95.9400,0.0000,1.0000,12.9500,1.0000
2016-01-22,96.7500,0.0000,1.0000,12.9500,1.0000
2016-01-25,96.4000,0.0000,1.0000,12.9500,1.0000
2016-01-26,101.1800,0.0000,1.0000,12.9500,1.0000
2016-01-27,102.1600,0.0000,1.0000,12.9500,1.0000
2016-01-28,102.2700,0.0000,1.0000,12.9500,1.0000
2016-01-29,104.4400,0.0000,1.0000,12.9500,1.0000
2016-02-01,104.3700,0.0000,1.0000,12.9500,1.0000
2016-02-02,103.4100,0.0000,1.0000,12.9500,1.0000
2016-02-03,104.1400,0.0000,1.0000,12.9500,1.0000
2016-02-04,103.9000,0.0000,1.0000,12.9500,1.0000
2016-02-05,100.5400,0.0000,1.0000,12.9500,1.0000
2016-02-08,102.0000,0.0000,1.0000,12.9500,1.0000
2016-02-09,101.9700,0.0000,1.0000,12.9500,1.0000
2016-02-10,101.7300,0.0000,1.0000,12.9500,1.0000
2016-02-11,101.7000,0.0000,1.0000,12.9500,1.0000
2016-02-12,101.8200,0.0000,1.0000,12.9500,1.0000
2016-02-16,102.3200,0.0000,1.0000,12.9500,1.0000
2016-02-17,102.5000,0.0000,1.0000,12.9500,1.0000
2016-02-18,104.2400,0.0000,1.0000,12.9500,1.0000
2016-02-19,104.1600,0.7500,1.0000,13.7000,1.0000
2016-02-22,104.7500,0.0000,1.0000,13.7000,1.0000
2016-02-23,104.0800,0.0000,1.0000,13.7000,1.0000
2016-02-24,104.9600,0.0000,1.0000,13.7000,1.0000
2016-02-25,106.3800,0.0000,1.0000,13.7000,1.0000
2016-02-26,105.7800,0.0000,1.0000,13.7000,1.0000
2016-02-29,105.2100,0.0000,1.0000,13.7000,1.0000
2016-03-01,107.2200,0.0000,1.0000,13.7000,1.0000
2016-03-02,107.0400,0.0000,1.0000,13.7000,1.0000
2016-03-03,106.6500,0.0000,1.0000,13.7000,1.0000
2016-03-04,106.5000,0.0000,1.0000,13.7000,1.0000
2016-03-07,106.7400,0.0000,1.0000,13.7000,1.0000
2016-03-08,106.2200,0.0000,1.0000,13.7000,1.0000
2016-03-09,106.8400,0.0000,1.0000,13.7000,1.0000
2016-03-10,107.1400,0.0000,1.0000,13.7000,1.0000
2016-03-11,107.7100,0.0000,1.0000,13.7000,1.0000
2016-03-14,107.6600,0.0000,1.0000,13.7000,1.0000
2016-03-15,107.7600,0.0000,1.0000,13.7000,1.0000
2016-03-16,107.4100,0.0000,1.0000,13.7000,1.0000
2016-03-17,106.7400,0.0000,1.0000,13.7000,1.0000
2016-03-18,107.5000,0.0000,1.0000,13.7000,1.0000
2016-03-21,107.2800,0.0000,1.0000,13.7000,1.0000
2016-03-22,107.3800,0.0000,1.0000,13.7000,1.0000
2016-03-23,108.5000,0.0000,1.0000,13.7000,1.0000
2016-03-24,108.3100,0.0000,1.0000,13.7000,1.0000
2016-03-28,108.2300,0.0000,1.0000,13.7000,1.0000
2016-03-29,109.1400,0.0000,1.0000,13.7000,1.0000
2016-03-30,108.9800,0.0000,1.0000,13.7000,1.0000
2016-03-31,108.2000,0.0000,1.0000,13.7000,1.0000
2016-04-01,109.1900,0.0000,1.0000,13.7000,1.0000
2016-04-04,108.5900,0.0000,1.0000,13.7000,1.0000
2016-04-05,108.9500,0.0000,1.0000,13.7000,1.0000
2016-04-06,109.4200,0.0000,1.0000,13.7000,1.0000
2016-04-07,109.2700,0.0000,1.0000,13.7000,1.0000
2016-04-08,109.1000,0.0000,1.0000,13.7000,1.0000
2016-04-11,108.9700,0.0000,1.0000,13.7000,1.0000
2016-04-12,109.6000,0.0000,1.0000,13.7000,1.0000
2016-04-13,109.8700,0.0000,1.0000,13.7000,1.0000
2016-04-14,109.8400,0.0000,1.0000,13.7000,1.0000
2016-04-15,110.1800,0.0000,1.0000,13.7000,1.0000
2016-04-18,110.9300,0.0000,1.0000,13.7000,1.0000
2016-04-19,112.6800,0.0000,1.0000,13.7000,1.0000
2016-04-20,113.5800,0.0000,1.0000,13.7000,1.0000
2016-04-21,113.5700,0.0000,1.0000,13.7000,1.0000
2016-04-22,113.3200,0.0000,1.0000,13.7000,1.0000
2016-04-25,113.5100,0.0000,1.0000,13.7000,1.0000
2016-04-26,112.9100,0.0000,1.0000,13.7000,1.0000
2016-04-27,112.7700,0.0000,1.0000,13.7000,1.0000
2016-04-28,112.4800,0.0000,1.0000,13.7000,1.0000
2016-04-29,112.0800,0.0000,1.0000,13.7000,1.0000
2016-05-02,112.7500,0.0000,1.0000,13.7000,1.0000
2016-05-03,112.6900,0.0000,1.0000,13.7000,1.0000
2016-05-04,112.2200,0.0000,1.0000,13.7000,1.0000
2016-05-05,112.8800,0.0000,1.0000,13.7000,1.0000
2016-05-06,112.7400,0.0000,1.0000,13.7000,1.0000
2016-05-09,113.7200,0.0000,1.0000,13.7000,1.0000
2016-05-10,114.6700,0.0000,1.0000,13.7000,1.0000
2016-05-11,114.3700,0.0000,1.0000,13.7000,1.0000
2016-05-12,114.2300,0.0000,1.0000,13.7000,1.0000
