Date,CLOSE,Dividend,SplitFactor,CumulativeDividend,cum_factor
2020-06-11,351.8500,0.0000,1.0000,3.7450,1.0000
2020-06-12,357.3000,0.0000,1.0000,3.7450,1.0000
2020-06-15,366.9500,0.0000,1.0000,3.7450,1.0000
2020-06-16,362.7400,0.0000,1.0000,3.7450,1.0000
2020-06-17,369.4400,0.0000,1.0000,3.7450,1.0000
2020-06-18,368.7200,0.0000,1.0000,3.7450,1.0000
2020-06-19,370.4500,0.0000,1.0000,3.7450,1.0000
2020-06-22,381.0700,0.0000,1.0000,3.7450,1.0000
2020-06-23,378.0000,0.0000,1.0000,3.7450,1.0000
2020-06-24,369.4200,0.0000,1.0000,3.7450,1.0000
2020-06-25,379.6000,0.0000,1.0000,3.7450,1.0000
2020-06-26,366.2000,0.0000,1.0000,3.7450,1.0000
2020-06-29,368.0000,0.0000,1.0000,3.7450,1.0000
2020-06-30,379.9100,0.0000,1.0000,3.7450,1.0000
2020-07-01,381.2000,0.0000,1.0000,3.7450,1.0000
2020-07-02,384.4900,0.0000,1.0000,3.7450,1.0000
2020-07-06,393.5700,0.0000,1.0000,3.7450,1.0000
2020-07-07,394.8700,0.0000,1.0000,3.7450,1.0000
2020-07-08,408.6400,0.0000,1.0000,3.7450,1.0000
2020-07-09,420.3600,0.0000,1.0000,3.7450,1.0000
2020-07-10,419.1700,0.0000,1.0000,3.7450,1.0000
2020-07-13,402.0900,0.0000,1.0000,3.7450,1.0000
2020-07-14,415.0800,0.0000,1.0000,3.7450,1.0000
2020-07-15,409.0900,0.0000,1.0000,3.7450,1.0000
2020-07-16,405.3900,0.0000,1.0000,3.7450,1.0000
2020-07-17,408.0600,0.0000,1.0000,3.7450,1.0000
2020-07-20,420.4300,0.0000,1.0000,3.7450,1.0000
2020-07-21,413.1400,0.0000,1.0000,3.7450,1.0000
2020-07-22,417.5500,0.0000,1.0000,3.7450,1.0000
2020-07-23,405.1900,0.0000,1.0000,3.7450,1.0000
2020-07-24,407.7800,0.0000,1.0000,3.7450,1.0000
2020-07-27,416.8600,0.0000,1.0000,3.7450,1.0000
2020-07-28,408.6200,0.0000,1.0000,3.7450,1.0000
2020-07-29,418.6200,0.0000,1.0000,3.7450,1.0000
2020-07-30,424.5600,0.0000,1.0000,3.7450,1.0000
2020-07-31,424.5900,0.0000,1.0000,3.7450,1.0000
2020-08-03,440.4100,0.0000,1.0000,3.7450,1.0000
2020-08-04,449.1100,0.0000,1.0000,3.7450,1.0000
2020-08-05,451.4700,0.0000,1.0000,3.7450,1.0000
2020-08-06,453.4200,0.0000,1.0000,3.7450,1.0000
2020-08-07,447.9800,0.0000,1.0000,3.7450,1.0000
2020-08-10,446.6000,0.0000,1.0000,3.7450,1.0000
2020-08-11,434.0000,0.0000,1.0000,3.7450,1.0000
2020-08-12,457.6100,0.0000,1.0000,3.7450,1.0000
2020-08-13,457.7200,0.0000,1.0000,3.7450,1.0000
2020-08-14,462.5600,0.0000,1.0000,3.7450,1.0000
2020-08-17,493.4800,0.0000,1.0000,3.7450,1.0000
2020-08-18,490.4300,0.0000,1.0000,3.7450,1.0000
2020-08-19,485.5400,0.0000,1.0000,3.7450,1.0000
2020-08-20,485.6400,0.0000,1.0000,3.7450,1.0000
2020-08-21,507.3400,0.0000,1.0000,3.7450,1.0000
2020-08-24,508.8100,0.0000,1.0000,3.7450,1.0000
2020-08-25,510.0000,0.0000,1.0000,3.7450,1.0000
2020-08-26,510.9200,0.0000,1.0000,3.7450,1.0000
2020-08-27,505.1300,0.0000,1.0000,3.7450,1.0000
2020-08-28,525.9100,0.0000,1.0000,3.7450,1.0000
2020-08-31,534.9800,0.0000,1.0000,3.7450,1.0000
2020-09-01,552.8400,0.1600,1.0000,3.9050,1.0000
2020-09-02,573.8600,0.0000,1.0000,3.9050,1.0000
2020-09-03,520.6200,0.0000,1.0000,3.9050,1.0000
2020-09-04,504.9000,0.0000,1.0000,3.9050,1.0000
2020-09-08,476.5200,0.0000,1.0000,3.9050,1.0000
2020-09-09,508.6000,0.0000,1.0000,3.9050,1.0000
2020-09-10,492.4700,0.0000,1.0000,3.9050,1.0000
2020-09-11,486.5800,0.0000,1.0000,3.9050,1.0000
2020-09-14,514.8900,0.0000,1.0000,3.9050,1.0000
2020-09-15,519.6400,0.0000,1.0000,3.9050,1.0000
2020-09-16,500.5800,0.0000,1.0000,3.9050,1.0000
2020-09-17,498.5400,0.0000,1.0000,3.9050,1.0000
2020-09-18,487.5700,0.0000,1.0000,3.9050,1.0000
2020-09-21,500.6900,0.0000,1.0000,3.9050,1.0000
2020-09-22,505.5100,0.0000,1.0000,3.9050,1.0000
2020-09-23,484.9500,0.0000,1.0000,3.9050,1.0000
2020-09-24,493.9200,0.0000,1.0000,3.9050,1.0000
2020-09-25,514.9500,0.0000,1.0000,3.9050,1.0000
2020-09-28,521.4000,0.0000,1.0000,3.9050,1.0000
2020-09-29,529.0300,0.0000,1.0000,3.9050,1.0000
2020-09-30,541.2200,0.0000,1.0000,3.9050,1.0000
2020-10-01,544.5800,0.0000,1.0000,3.9050,1.0000
2020-10-02,522.4900,0.0000,1.0000,3.9050,1.0000
2020-10-05,545.7000,0.0000,1.0000,3.9050,1.0000
2020-10-06,549.4600,0.0000,1.0000,3.9050,1.0000
2020-10-07,558.5600,0.0000,1.0000,3.9050,1.0000
2020-10-08,553.5500,0.0000,1.0000,3.9050,1.0000
2020-10-09,550.5100,0.0000,1.0000,3.9050,1.0000
2020-10-12,569.0400,0.0000,1.0000,3.9050,1.0000
2020-10-13,569.9300,0.0000,1.0000,3.9050,1.0000
2020-10-14,563.8100,0.0000,1.0000,3.9050,1.0000
2020-10-15,558.8000,0.0000,1.0000,3.9050,1.0000
2020-10-16,552.4600,0.0000,1.0000,3.9050,1.0000
2020-10-19,539.9100,0.0000,1.0000,3.9050,1.0000
2020-10-20,545.8200,0.0000,1.0000,3.9050,1.0000
2020-10-21,540.9900,0.0000,1.0000,3.9050,1.0000
2020-10-22,534.4400,0.0000,1.0000,3.9050,1.0000
2020-10-23,543.6100,0.0000,1.0000,3.9050,1.0000
2020-10-26,525.6500,0.0000,1.0000,3.9050,1.0000
2020-10-27,535.8700,0.0000,1.0000,3.9050,1.0000
2020-10-28,505.0800,0.0000,1.0000,3.9050,1.0000
2020-10-29,520.9600,0.0000,1.0000,3.9050,1.0000
2020-10-30,501.3600,0.0000,1.0000,3.9050,1.0000
2020-11-02,503.2300,0.0000,1.0000,3.9050,1.0000
2020-11-03,520.7800,0.0000,1.0000,3.9050,1.0000
2020-11-04,551.7700,0.0000,1.0000,3.9050,1.0000
2020-11-05,566.4000,0.0000,1.0000,3.9050,1.0000
2020-11-06,582.4800,0.0000,1.0000,3.9050,1.0000
2020-11-09,545.2300,0.0000,1.0000,3.9050,1.0000
2020-11-10,510.8000,0.0000,1.0000,3.9050,1.0000
2020-11-11,536.7200,0.0000,1.0000,3.9050,1.0000
2020-11-12,538.2700,0.0000,1.0000,3.9050,1.0000
2020-11-13,531.8800,0.0000,1.0000,3.9050,1.0000
2020-11-16,540.6100,0.0000,1.0000,3.9050,1.0000
